Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
HGST Deskstar NAS 0S03661,,HGST,0S03661,705487193794,,,3 TB,7200.0,,
HGST Deskstar NAS 0S03665,,HGST,0S03665,705487194036,,,4 TB,7200.0,,
HGST Deskstar NAS 0S03940,,HGST,0S03940,705487200201,,,5 TB,7200.0,,
HGST Deskstar NAS v2 0S03941,,HGST,0S03941,705487200300,,,6 TB,7200.0,,
Toshiba DT01ACA100 1TB 32MB,$65.49 USD,Toshiba,DT01ACA100,608729688839,696859078965.0,,1 TB,7200.0,,https://www.amazon.ca/Toshiba-3-5-Inch-Internal-Drive-DT01ACA100/dp/B00AV5FEV4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00AV5FEV4
Toshiba P300 HDWD110EZSTA 1TB 64MB,$18.88 USD,Toshiba,HDWD110EZSTA,4051528202670,,,1 TB,7200.0,,https://www.amazon.ca/1868806-Flexible-Cable-Black-White/dp/B0140Z4P7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0140Z4P7Y
HGST Ultrastar 7K4000,,HGST,0F14683,8717306631082,,,4 TB,7200.0,,
HGST Ultrastar He6,$466.85 USD,HGST,0F18335,672042149803,,,6 TB,7200.0,,https://www.amazon.ca/Ultrastar-Enterprise-Internal-Drive-Cache/dp/B00GTD3AR2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00GTD3AR2
HGST Ultrastar He8,$491.18 USD,HGST,0F23267,8717306633901,,,8 TB,7200.0,,https://www.amazon.ca/Western-Digital-Ultrastar-3-5-Inch-0F23267/dp/B00NP6AOCK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NP6AOCK
Hitachi HGST Travelstar 5K1000,,Hitachi HGST,HTS541010A9E680,4016138794397,,,1 TB,5400.0,8.0,
