Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
Corsair Vengeance RGB RS,$61.19 USD,Corsair,CMG16GX4M2E3200C16,840006649007,,DDR4-3200,16 GB,3200,16-20-20-38,2,https://www.amazon.ca/dp/B09C5V7M9X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
ADATA Lancer DDR5-5200,,ADATA,AX5U5200C3816G-CLABK,4711085936769,,DDR5-5200,16 GB,5200,38-38-38,1,
ADATA Premier DDR5-4800,,ADATA,AD5U480016G-S,4711085936448,,DDR5-4800,16 GB,4800,40,1,
ADATA XPG Spectrix D80 red,,ADATA,AX4U3200316G16-DB80,4713218467928,,DDR4-3200,32 GB,3200,16-18-18,2,
ADATA XPG Spectrix D80 black,,ADATA,AX4U320038G16-DB80,4713218467966,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D41 grey,,ADATA,AX4U320038G16-DT41,4713218466815,,DDR4-3200,16 GB,3200,16-18-18,2,
ADATA XPG Spectrix RGB D41 red,,ADATA,AX4U360038G17-DR41,4713218467119,,DDR4-3600,16 GB,3600,17-18-18,2,
ADATA XPG Spectrix RGB D60G grey,,ADATA,AX4U320038G16-DT60,4710273771908,,DDR4-3200,16 GB,3200,16-18-18,2,
"Avexir Blitz Series, weiße LED, DDR4-3600, CL17 - 16 GB Kit",,Avexir,AVD4UZ136001708G-2BZ1SW,711811366499,,DDR4-3600,16 GB,3600,,2,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 16 GB Kit",,Avexir,AVD4UZ124001608G-2COB,711811365744,,DDR4-2400,16 GB,2400,,2,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COB,711811365706,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COB,711811365737,,DDR4-2400,8 GB,2400,,2,
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COG,711811367335,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",,Avexir,AVD4UZ124001608G-4COR,711811366239,,DDR4-2400,32 GB,2400,,4,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COR,711811366154,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COR,711811366185,,DDR4-2400,8 GB,2400,,2,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",,Avexir,AVD4UZ124001608G-1COW,711811366277,,DDR4-2400,8 GB,2400,,1,
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",,Avexir,AVD4UZ124001604G-2COW,711811366307,,DDR4-2400,8 GB,2400,,2,
Ballistix Sport DDR3-1600 CL9,,Ballistix,BLS8G3D1609DS1S00CEU,649528757906,,DDR3-1600,8 GB,1600,,1,
Ballistix Sport DDR4-2400 CL16,,Ballistix,BLS4G4D240FSA,649528769633,,DDR4-2400,4 GB,2400,,1,
Ballistix Sport LT DDR4-2400 red CL16,,Ballistix,BLS2C16G4D240FSE,649528777270,,DDR4-2400,32 GB,2400,,1,
Ballistix Tactical LP DDR3-1600 CL8 Low Profile,,Ballistix,BLT4G3D1608ET3LX0CEU,649528762917,,DDR3-1600,4 GB,1600,,1,
Corsair Dominator Platinum + AF,$256.78 USD,Corsair,CMD16GX4M2B3600C18,843591090681,843591090681.0,DDR4-3600,16 GB,3600,18-19-19-39,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3600MHz-Desktop/dp/B01G260XKC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G260XKC
Corsair Dominator Platinum DDR4-2666 CL15,$213.04 USD,Corsair,CMD32GX4M2A2666C15,843591069847,843591069847.0,DDR4-2666,32 GB,2666,,1,https://www.amazon.ca/CORSAIR-Dominator-Platinum-2666MHz-Desktop/dp/B017NW5KXE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017NW5KXE
Corsair Dominator Platinum RGB Series,$92.75 USD,Corsair,CMT16GX4M2Z3200C16,840006609452,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B07N3HHLN1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum Series 16GB,,Corsair,CMD16GX4M2B3200C14,843591092715,843591092715.0,DDR4-3200,16 GB,3200,14-16-16-36,2,
Corsair Dominator Platinum Series 32GB,$244.44 USD,Corsair,CMD32GX4M2C3200C16,843591084703,843591084703.0,DDR4-3200,32 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B01BGZEWO2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
Corsair Dominator Platinum Series DDR4-3200,$108.8 USD,Corsair,CMD16GX4M2B3200C16,843591073073,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://www.amazon.ca/dp/B018GK2G9S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
